name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Iams Proactive Health Adult Ocean Fish with Rice,CPI00022,1,1,1
Iams ProActive Health Adult Indoor Weight & Hairball Care,CPI0006,1,1,1
Iams ProActive Health Adult Hairball Care,CPI0007,1,1,1
Iams ProActive Health Adult Light/Sterilised,CPI0008,1,1,1
Iams ProActive Health Adult Mature/Senior Chicken,CPI0011,1,1,1
Royal Canin Dog DACHSHUND 1.5kgs,DPR1220,,1,
Royal Canin Dog FRENCH BULLDOG 3kgs,DPR1240,,1,
Royal Canin Dog GERMAN SHEPARD Adult ,ROYGER,1,1,1
Royal Canin Dog GERMAN SHEPARD Junior 12kgs,DPR1540,,1,
Royal Canin Dog GIANT Puppy 15kgs,DPR1060,,1,
Royal Canin Dog GIANT Junior 15kgs,DPR1080,,1,
Royal Canin Dog GIANT Adult 15kgs,DPR1100,,1,
Royal Canin Dog GOLDEN RETRIEVER Adult 3kgs,DPR1640,,1,
Royal Canin Dog GOLDEN RETRIEVER Adult 12kgs,DPR1660,,1,
Royal Canin Dog GOLDEN RETRIEVER Adult ,ROYGOLD,1,1,1
Royal Canin Dog GOLDEN RETRIEVER Junior ,ROYGOL,1,1,1
Royal Canin Dog JACK RUSSELL 3kgs,DPR1315,,1,
Royal Canin Dog LABRADORS Retriever Adult,ROYLAB,1,1,1
Royal Canin Dog LABRADOR RETRIEVER Junior ,ROYLJU,1,1,1
Royal Canin Dog MAXI Adult,ROYMAX,1,1,1
Royal Canin Dog MAXI 5+ Adult 15kgs,40893,,1,
Royal Canin Dog MAXI AGEING 8+ 15kgs,DPR0840,,1,
Royal Canin Dog MAXI Junior ,ROYMAX.,1,1,1
Royal Canin Dog MAXI DERMA,ROYDER,1,1,1
Royal Canin Dog MAXI LIGHT ,ROYLIG,1,1,1
Royal Canin Dog MEDIUM Adult ,ROYMED,1,1,1
Royal Canin Dog MEDIUM AGEING 7+,ROYAGE,1,1,1
Royal Canin Dog MEDIUM DERMA,ROYMDER,1,1,1
Royal Canin Dog MEDIUM Junior ,ROYMJU,1,1,1
Royal Canin Dog MEDIUM LIGHT,ROYMLI,1,1,1
Royal Canin Dog MEDIUM Sensible,ROYMSEN,1,1,1
Iams ProActive Health Adult Mature/Senior Hairball,CPI0016,1,1,1
Iams Pouch Kitten 100g x 22 pack,CPI0700,,1,
Iams Pouch Adult Chicken 100g x 22 pack,CPI0720,,1,
Iams Pouch Adult Salmon 100g x 22 pack,CPI0740,,1,
Iams Pouch Adult Tuna 100g x 22 pack,CPI0760,,1,
Iams Pouch Active Maturity 100g x 22 pack,CPI0780,,1,
Royal Canin Dog MINI Adult,ROYMINI,1,1,1
Royal Canin Dog MINI DERMACOMFORT 2kgs,DPR0220,,1,
Royal Canin Dog MINI Junior ,ROYMIJU,1,1,1
Royal Canin Dog MINI Light 2kgs,DPR0160,,1,
