sku,name,stock.qty,stock.is_in_stock
DGF102,"Fido's Creme Conditioner",0.0000,"In Stock"
DGF1040,"Fido's Creme Conditioner 1Ltr",6.0000,"In Stock"
DGF1020,"Fido's Creme Conditioner 250ml",6.0000,"In Stock"
CPS0020,"Science Diet Feline Kitten Healthy Development Original 1kg",99.0000,"In Stock"
CPS0040,"Science Diet Feline Kitten Healthy Development Original 2.5kg",99.0000,"In Stock"
CPS0060,"Science Diet Feline Kitten Healthy Development Original 5kg",94.0000,"In Stock"
CPS0080,"Science Diet Feline Kitten Healthy Development Original 9.07kg",93.0000,"In Stock"
CPS0005,"Science Diet Feline Kitten Healthy Development Original",0.0000,"In Stock"
CPS0260,"Science Diet Feline Adult Light 1.5kg",100.0000,"In Stock"
CPS0280,"Science Diet Feline Adult Light 3kg",98.0000,"In Stock"
CPS0006,"Science Diet Feline Adult Light",0.0000,"In Stock"
DGF110,"Fido's Oatmeal Conditioner",0.0000,"In Stock"
DGF1100,"Fido's Oatmeal Conditioner 250ml",6.0000,"In Stock"
DGF1120,"Fido's Oatmeal Conditioner 1Ltr",5.0000,"In Stock"
CHA00001,"Advantix Green Small Dogs 0-4kg",0.0000,"In Stock"
DHA2020,"Advantix Green Small Dogs up to 4kg 3 Pack",49.0000,"In Stock"
DHA2040,"Advantix Green Small Dogs up to 4kg 6 Pack",77.0000,"In Stock"
DHA2060,"Advantix Blue Medium Dogs 4-10kg 3 Pack",76.0000,"In Stock"
DHA2080,"Advantix Blue Medium Dogs 4-10kg 6Pack",13.0000,"In Stock"
DHA20001,"Advantix Blue Medium Dogs 4-10kg",0.0000,"In Stock"
DHA2100,"Advantix Red Large Dogs 10-25kg 3 Pack",82.0000,"In Stock"
DHA2120,"Advantix Red Large Dogs 10-25kg 6Pack",47.0000,"In Stock"
DHA20002,"Advantix Red Large Dogs 10-25kg",0.0000,"In Stock"
DHA2140,"Advantix Grey Extra Large Dogs Over 25kg 3 Pack",50.0000,"In Stock"
DHA2160,"Advantix Grey Extra Large Dogs Over 25kg 6 Pack",43.0000,"In Stock"
DHA20003,"Advantix Grey Extra Large Dogs Over 25kg",0.0000,"In Stock"
DGF2060,"Fido's Fresh Coat Spray 125ml",5.0000,"In Stock"
DGF206,"Fido's Fresh Coat Spray 500ml",6.0000,"In Stock"
DGF2100,"Fido's Fresh Coat Spray 5ltr",6.0000,"In Stock"
DGF2080,"Fido's Fresh Coat Spray",0.0000,"In Stock"
CHA00002,"Advocate Small Cats Orange 0-4kg",0.0000,"In Stock"
DGF026,"Fido's Fre Itch Rinse Concentrate",0.0000,"In Stock"
CHA0120,"Advocate Small Cat Orange 0-4kg 3 Pack",72.0000,"In Stock"
CHA0140,"Advocate Small Cat Orange 0-4kg 6 Pack",41.0000,"In Stock"
CHA0160,"Advocate Large Cat Purple Over 4kg 3 Pack",58.0000,"In Stock"
CHA0180,"Advocate Large Cat Purple Over 4kg 6Pack",946.0000,"In Stock"
CHA0003,"Advocate Large Cats Purple Over 4kg",0.0000,"In Stock"
DHA1040,"Advocate Blue Medium Dog 4-10kg 3 Pack",15.0000,"In Stock"
DHA1060,"Advocate Blue Medium Dog 4-10kg 6 Pack",26.0000,"In Stock"
DHA10004,"Advocate Blue Medium Dogs 4-10kg",0.0000,"In Stock"
DHA1020,"Advocate Green Small Dogs 0-4kg 3 Pack",60.0000,"In Stock"
DHA1080,"Advocate Red Large Dogs 10-25kg 3 Pack",48.0000,"In Stock"
DHA1100,"Advocate Red Large Dogs 10-25kg 6 Pack",41.0000,"In Stock"
DHA10005,"Advocate Red Large Dogs 10-25kg",0.0000,"In Stock"
DHA1120,"Advocate for Extra Large Dogs Over 25kg 3 Pack",77.0000,"In Stock"
DHA1140,"Advocate Grey Extra Large Dogs Over 25kg 6 Pack",18.0000,"In Stock"
DHA10006,"Advocate Grey Extra Large Dogs Over 25kg",0.0000,"In Stock"
CHA0020,"Advantage Orange Small Cats 0-4kg 4 Pack",94.0000,"In Stock"
CHA0040,"Advantage Orange Small Cats 0-4kg 6 Pack",98.0000,"In Stock"
CHA0004,"Advantage Orange Small Cats 0-4kg",0.0000,"In Stock"
CHA0060,"Advantage Purple Large Cats Over 4kg 4 Pack",70.0000,"In Stock"
CHA0080,"Advantage Purple Large Cats Over 4kg 6 Pack",51.0000,"In Stock"
CHA0005,"Advantage Purple Large Cats Over 4kg",0.0000,"In Stock"
DHA0020,"Advantage Green Small Dogs 0-4kg 4 Pack",98.0000,"In Stock"
DHA0040,"Advantage Green Small Dog 0-4kg 6 Pack",98.0000,"In Stock"
DHA0006,"Advantage Green Small Dogs 0-4kg",0.0000,"In Stock"
DHA0060,"Advantage Blue Medium Dogs 4-10kg 4 Pack",91.0000,"In Stock"
DHA0080,"Advantage Blue Medium Dogs 4-10kg 6 Pack",71.0000,"In Stock"
DHA0007,"Advantage Blue Medium Dogs 4-10kg",0.0000,"In Stock"
DHA0100,"Advantage Red Large Dogs 10-25kg 4 Pack",92.0000,"In Stock"
DHA0120,"Advantage Red Large Dogs 10-25kg 6Pack",97.0000,"In Stock"
DHA0008,"Advantage Red Large Dogs 10-25kg",0.0000,"In Stock"
DHA0140,"Advantage Grey Extra Large Dogs Over 25kg 4 Pack",93.0000,"In Stock"
DHA0160,"Advantage Grey Extra Large Dogs Over 25kg 6Pack",47.0000,"In Stock"
DHA0009,"Advantage Grey Extra Large Dogs Over 25kg",0.0000,"In Stock"
CPS0400,"Science Diet Feline Mature Adult Active Longevity Original 1.5kg",100.0000,"In Stock"
CPS0420,"Science Diet Feline Mature Adult Active Longevity Original 3kg",99.0000,"In Stock"
CPS0440,"Science Diet Feline Mature Adult Active Longevity Original 6kg",95.0000,"In Stock"
CPS0008,"Science Diet Feline Mature Adult Active Longevity Original",0.0000,"In Stock"
CPS0450,"Science Diet Feline Senior 11+ Age Defying 1.58kg",100.0000,"In Stock"
CPS0452,"Science Diet Feline Senior 11+ Age Defying 3.17kg",99.0000,"In Stock"
CPS0454,"Science Diet Feline Senior 11+ Age Defying 7.03kg",99.0000,"In Stock"
CPS0009,"Science Diet Feline Senior 11+ Age Defying",0.0000,"In Stock"
CPS0560,"Science Diet Feline Adult Tender Dinners Chicken 82gx24",98.0000,"In Stock"
CPS0600,"Science Diet Feline Adult Tender Dinners Chicken 156gx24",90.0000,"In Stock"
